=== Q08a: municipio ativo x fonte (scraper_municipio_coleta), piores primeiro ===
pos_alfa|nome|fonte|ultima_coleta_brt|dias_desde_carimbo|tentativas|ultimo_erro_brt|qualidade|detalhe_pagina|ultimo_erro
12|6|gov.br - Conta Unica|govbr|Federal|8393|2026-05-11 00:32|2026-05-11 01:28|2661.1|[SESSION] capturado em 2026-05-11T04:28:27.620853+00:00 | cookies=13 httpOnly=10 | url=https://www.gov.br/pt-br | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
(15 rows)
=== Q10b: credenciais por automation_key/sistema (contagem) ===
automation_key|sistema|n|municipios
fns|FNS - Fundo Nacional de Saude|5|5
fns|Sessao FNS|1|1
govbr|Sessao GOVBR|2|2
govbr|gov.br - Conta Unica|13|13
sigcon|SIGCON-MG|29|25
simec|SIMEC/PAR - FNDE|5|5
sismob|SISMOB - Obras de Saude|10|10
suas|Estrutura SUAS|1|1
(8 rows)
=== Q11a: por municipio ativo — carimbos de detalhe/historico/ops ===
nome|n|com_instr|det_null|det_med_dias|det_valor_sem_carimbo|hist_com_valor|hist_valor_sem_carimbo|hist_valor_velho_30d|hist_med_dias|ops_null|com_clausula|com_claus_det|com_pb|com_ne|com_parl|max_upd_brt
Igarapé|171|43|0|0.9|0|13|0|0|18.0|0|5|0|5|10|29|08-29 04:01
Itaguara|162|52|0|0.8|0|10|0|0|17.9|0|1|0|1|20|25|08-29 04:03
Arcos|147|57|0|1.1|0|18|0|0|18.0|0|1|0|1|43|38|08-29 19:25
Bom Despacho|145|63|0|0.1|0|15|0|0|26.0|0|7|10|10|28|34|08-29 19:17
Martinho Campos|134|36|0|0.5|0|9|0|0|26.1|0|1|0|1|12|25|08-29 11:25
Santo Antônio do Monte|107|43|0|0.6|0|8|0|0|18.0|0|0|0|0|18|38|08-29 07:12
Piracema|107|30|0|0.3|0|9|0|0|26.5|0|3|3|3|8|16|08-29 15:10
Carmópolis de Minas|107|44|0|0.0|0|16|0|0|17.9|0|5|0|5|21|26|08-29 21:23
Iguatama|100|29|0|0.8|0|9|0|0|18.0|0|2|0|2|14|19|08-29 04:02
São Tiago|94|41|0|0.2|0|13|0|0|26.9|0|4|4|4|18|30|08-29 17:12
Nova Lima|89|44|0|0.7|0|4|0|0|17.9|0|3|0|4|17|34|08-29 05:11
Araújos|83|22|0|0.2|0|9|0|0|23.9|0|1|1|3|9|19|08-29 17:25
Cláudio|82|44|0|1.0|0|8|0|0|18.0|0|1|0|1|17|31|08-29 03:57
Carandaí|78|25|0|1.6|0|14|0|0|23.9|0|2|0|2|13|13|08-29 07:25
Nova Serrana|78|32|0|0.4|0|13|0|0|26.2|0|2|2|2|9|19|08-29 13:15
Senhora dos Remédios|76|25|0|0.6|0|7|0|0|18.0|0|1|0|1|10|19|08-29 07:19
Perdigão|73|31|0|0.4|0|11|0|0|17.9|0|1|0|1|11|19|08-29 13:25
Igaratinga|73|34|0|0.5|0|10|0|0|26.8|0|3|0|3|13|25|08-29 09:24
São Francisco de Paula|72|14|0|0.3|0|8|0|0|26.4|0|0|0|0|5|8|08-29 15:19
Heliodora|71|25|0|1.0|0|7|0|0|17.9|0|2|0|2|8|15|08-29 04:00
Bonfim|69|17|0|0.1|0|7|0|0|23.9|0|3|0|3|6|8|08-29 19:24
Conceição do Pará|68|22|0|1.6|0|7|0|0|23.9|0|3|0|3|9|13|08-29 09:01
Lagoa Dourada|67|30|0|0.5|0|6|0|0|26.7|0|1|0|1|8|10|08-29 11:14
Oliveira Fortes|66|13|0|0.7|0|7|0|0|17.9|0|0|0|0|5|6|08-29 05:16
Arapuá|66|19|0|0.2|0|2|0|0|21.9|0|2|0|2|5|7|08-29 17:21
Córrego Danta|64|27|0|0.6|0|7|0|0|23.9|0|1|0|1|5|11|08-29 09:09
Papagaios|63|23|0|0.7|0|9|0|0|18.0|0|1|0|1|6|13|08-29 05:22
Desterro de Entre Rios|59|20|0|0.6|0|5|0|0|23.9|0|0|0|1|10|10|08-29 09:14
Moema|58|30|0|0.4|0|9|0|0|26.7|0|2|0|2|10|20|08-29 13:08
São Brás do Suaçuí|57|11|0|0.3|0|4|0|0|26.5|0|0|0|0|6|6|08-29 15:14
Ibitiúra de Minas|54|11|0|0.9|0|3|0|0|17.9|0|3|0|3|4|7|08-29 04:00
Passa Tempo|52|20|0|0.7|0|4|0|0|17.9|0|0|0|0|4|14|08-29 05:25
Japaraíba|52|20|0|0.5|0|3|0|0|26.7|0|1|0|1|6|17|08-29 11:06
Toledo|47|15|0|0.2|0|5|0|0|26.9|0|4|3|4|6|8|08-29 17:16
Camacho|44|18|0|0.1|0|4|0|0|17.9|0|0|0|0|13|14|08-29 21:05
São Sebastião do Oeste|44|17|0|0.3|0|5|0|0|26.4|0|4|0|4|6|9|08-29 15:25
Pequi|42|14|0|0.4|0|7|0|0|26.2|0|0|0|0|7|9|08-29 13:20
Casa Grande|39|6|0|1.1|0|2|0|0|17.9|0|1|0|1|2|5|08-29 03:57
Estrela do Indaiá|38|21|0|1.0|0|10|0|0|17.9|0|1|0|1|14|12|08-29 03:59
Caranaíba|36|10|0|0.1|0|3|0|0|17.9|0|1|0|1|6|9|08-29 21:11
Capela Nova|34|11|0|0.1|0|5|0|0|17.9|0|1|0|1|9|8|08-29 21:09
Tocos do Moji|31|12|0|0.6|0|8|0|0|17.9|0|0|0|0|7|8|08-29 07:23
(42 rows)
=== Q11b: histograma de idade dos carimbos (carteira ativa) ===
carimbo|faixa|count
detalhe|1 <1d|2843
detalhe|2 1-7d|356
historico|1 <1d|180
historico|2 1-7d|465
historico|3 7-30d|2554
ops_obs|1 <1d|414
ops_obs|2 1-7d|1662
ops_obs|3 7-30d|1123
(8 rows)
=== Q11c: propostas vivas com detalhe >30d ou nunca lido (top 60) ===
nome|numero_proposta|situacao|codigo_instrumento|d_det|d_hist|tem_hist|upd
(0 rows)
vivas_det_velho_ou_nulo
0
(1 row)
=== Q11d: propostas em municipios inativos ===
active|propostas|municipios
t|3199|42
(1 row)
=== Q12: candidatos a reconciliacao ===
pos_alfa|nome|ibge_code|n_prop|det_null|tg_tent|tg_dias|det_med_dias|sig_tent|sig_dias|marcas|rank_pior
9|Carandaí|3113206|78|0|1|0.6|1.6|0|0.4||1
3|Arcos|3104205|147|0|1|0.1|1.1||||2
22|Itaguara|3132206|162|0|1|0.8|0.8||||3
31|Passa Tempo|3147709|52|0|1|0.7|0.7||||4
25|Martinho Campos|3140506|134|0|1|0.5|0.5|0|0.2||5
33|Perdigão|3149705|73|0|1|0.4|0.4|0|0.6||6
2|Araújos|3103900|83|0|1|0.2|0.2|0|0.5||7
13|Conceição do Pará|3117603|68|0|0|0.6|1.6|0|0.4||8
11|Casa Grande|3114907|39|0|0|1.1|1.1||||9
12|Cláudio|3116605|82|0|0|1.0|1.0||||10
16|Estrela do Indaiá|3124708|38|0|0|1.0|1.0||||11
17|Heliodora|3129202|71|0|0|0.9|1.0||||12
18|Ibitiúra de Minas|3129905|54|0|0|0.9|0.9||||13
19|Igarapé|3130101|171|0|0|0.8|0.9|||MAIS-PESADO|14
21|Iguatama|3130309|100|0|0|0.8|0.8|0|0.7||15
27|Nova Lima|3144805|89|0|0|0.7|0.7||||16
29|Oliveira Fortes|3145703|66|0|0|0.7|0.7|0|0.6||17
30|Papagaios|3146909|63|0|0|0.7|0.7|3|14.6||18
35|Santo Antônio do Monte|3160405|107|0|0|0.6|0.6|3|14.6||19
36|Senhora dos Remédios|3166204|76|0|0|0.6|0.6||||20
41|Tocos do Moji|3169059|31|0|0|0.6|0.6||||21
14|Córrego Danta|3119807|64|0|0|0.6|0.6|0|0.3||22
15|Desterro de Entre Rios|3121407|59|0|0|0.6|0.6|0|0.2||23
20|Igaratinga|3130200|73|0|0|0.5|0.5|0|0.2||24
23|Japaraíba|3135308|52|0|0|0.5|0.5|0|0.2||25
24|Lagoa Dourada|3137403|67|0|0|0.5|0.5|0|0.2||26
26|Moema|3142403|58|0|0|0.4|0.4|0|0.7||27
28|Nova Serrana|3145208|78|0|0|0.4|0.4|0|0.5||28
32|Pequi|3149606|42|0|0|0.4|0.4|0|0.6||29
34|Piracema|3150604|107|0|0|0.3|0.3|58|||30
37|São Brás do Suaçuí|3160900|57|0|0|0.3|0.3|0|0.1||31
38|São Francisco de Paula|3161205|72|0|0|0.3|0.3|0|0.5||32
39|São Sebastião do Oeste|3164605|44|0|0|0.3|0.3|0|0.5||33
40|São Tiago|3165008|94|0|0|0.2|0.2||||34
42|Toledo|3169109|47|0|0|0.2|0.2|0|0.5|FIM-ALFABETO|35
1|Arapuá|3103801|66|0|0|0.2|0.2|0|0.3||36
4|Bom Despacho|3107406|145|0|0|0.1|0.1|0|0.4|BOM-DESPACHO|37
5|Bonfim|3108107|69|0|0|0.1|0.1|0|0.2||38
6|Camacho|3110400|44|0|0|0.1|0.1||||39
7|Capela Nova|3112208|34|0|0|0.1|0.1||||40
8|Caranaíba|3113107|36|0|0|0.1|0.1||||41
10|Carmópolis de Minas|3114501|107|0|0|0.0|0.0||||42
(42 rows)
